epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17583.7,1.25043,1.08105,1.45199,0.83524,0.75532,0.81451,0.48016,1.49151,1.14222,1.73024,0.000990365,0.000990365,0.000990365
43,18037.6,1.22896,1.07198,1.44132,0.83527,0.76024,0.82502,0.4965,1.44553,1.09254,1.70032,0.000973861,0.000973861,0.000973861
44,18493,1.22563,1.0632,1.44346,0.82232,0.79204,0.8272,0.49157,1.45289,1.05499,1.70261,0.000957358,0.000957358,0.000957358
45,18944,1.22469,1.05831,1.43857,0.82581,0.76457,0.8245,0.47591,1.47724,1.14023,1.68816,0.000940855,0.000940855,0.000940855
46,19395.6,1.21697,1.07332,1.4384,0.79856,0.79771,0.82434,0.50157,1.45213,1.0497,1.70747,0.000924352,0.000924352,0.000924352
47,19799.4,1.23783,1.06413,1.44885,0.80917,0.79523,0.8334,0.51217,1.42332,1.0504,1.68182,0.000907848,0.000907848,0.000907848
48,20192.1,1.20457,1.04125,1.42158,0.82783,0.78214,0.82666,0.5072,1.405,1.06458,1.65332,0.000891345,0.000891345,0.000891345
49,20579,1.21459,1.03558,1.43303,0.82585,0.78523,0.83596,0.51172,1.41745,1.04817,1.66533,0.000874842,0.000874842,0.000874842
50,20975.8,1.19849,1.02821,1.4171,0.83634,0.80638,0.8478,0.50089,1.49138,1.04504,1.70125,0.000858338,0.000858338,0.000858338
51,21368.3,1.20373,1.01565,1.41353,0.82549,0.78963,0.83896,0.50259,1.43889,1.05507,1.67751,0.000841835,0.000841835,0.000841835
52,21767.2,1.19516,1.02112,1.41805,0.79825,0.78656,0.822,0.50058,1.42983,1.10488,1.67083,0.000825332,0.000825332,0.000825332
53,22162.7,1.17744,1.00587,1.41442,0.86291,0.77935,0.84394,0.509,1.41228,1.02146,1.66061,0.000808828,0.000808828,0.000808828
54,22557.1,1.1959,1.02435,1.42325,0.80038,0.79836,0.83404,0.50764,1.45727,1.08132,1.69853,0.000792325,0.000792325,0.000792325
55,22959.4,1.19067,1.00824,1.41367,0.83076,0.79471,0.84223,0.50714,1.42654,1.07179,1.67217,0.000775822,0.000775822,0.000775822
56,23349.5,1.17053,0.99609,1.3938,0.83096,0.80664,0.83988,0.51436,1.39174,1.03612,1.65223,0.000759318,0.000759318,0.000759318
57,23743.9,1.16626,0.98832,1.4053,0.84424,0.79655,0.84629,0.51593,1.40563,1.01856,1.66611,0.000742815,0.000742815,0.000742815
58,24141.6,1.17098,0.99385,1.40488,0.82463,0.81664,0.8495,0.51387,1.43319,1.0301,1.67192,0.000726312,0.000726312,0.000726312
59,24537.9,1.16982,0.9957,1.39989,0.86161,0.80386,0.85112,0.52059,1.38925,1.00312,1.64232,0.000709809,0.000709809,0.000709809
60,24940.3,1.16591,0.9803,1.39634,0.8261,0.80947,0.84501,0.51477,1.41259,1.00983,1.65451,0.000693305,0.000693305,0.000693305
61,25339.3,1.15957,0.97577,1.39735,0.85822,0.78404,0.83695,0.51154,1.41986,1.00953,1.6665,0.000676802,0.000676802,0.000676802
62,25739.3,1.16869,0.97778,1.40407,0.84117,0.77989,0.84438,0.5184,1.42844,1.03968,1.66693,0.000660299,0.000660299,0.000660299
63,26139.8,1.15422,0.96986,1.39543,0.84003,0.80085,0.85165,0.52156,1.43367,0.99087,1.67782,0.000643795,0.000643795,0.000643795
64,26537.1,1.14305,0.96844,1.38467,0.86584,0.80813,0.8549,0.53081,1.39044,0.9852,1.65186,0.000627292,0.000627292,0.000627292
65,26932.1,1.13425,0.94134,1.38391,0.83725,0.77005,0.84122,0.51419,1.4286,1.01233,1.67592,0.000610789,0.000610789,0.000610789
66,27328.8,1.14677,0.95782,1.38985,0.84862,0.77894,0.83787,0.51516,1.41539,1.0429,1.67144,0.000594286,0.000594286,0.000594286
67,27722.7,1.14229,0.94298,1.38299,0.85836,0.79169,0.84812,0.51979,1.38626,0.99236,1.64325,0.000577782,0.000577782,0.000577782
68,28127.3,1.14275,0.94348,1.38478,0.8622,0.79076,0.84485,0.52179,1.41969,0.97855,1.64998,0.000561279,0.000561279,0.000561279
69,28552,1.14177,0.93578,1.37562,0.87605,0.77612,0.84904,0.52017,1.41251,0.99628,1.66527,0.000544776,0.000544776,0.000544776
70,28953.4,1.15171,0.95426,1.3851,0.84067,0.7967,0.84912,0.52277,1.40108,0.98402,1.64508,0.000528272,0.000528272,0.000528272
71,29345.5,1.13731,0.93432,1.37074,0.85201,0.78942,0.85121,0.52394,1.39805,0.99139,1.64048,0.000511769,0.000511769,0.000511769
72,29741.6,1.1373,0.94108,1.38644,0.85824,0.7798,0.8552,0.53404,1.39589,0.95198,1.65525,0.000495266,0.000495266,0.000495266
73,30136.2,1.11831,0.93505,1.37998,0.85119,0.79971,0.84653,0.53037,1.39568,0.95992,1.65763,0.000478762,0.000478762,0.000478762
74,30549.2,1.12989,0.93034,1.3764,0.81919,0.80808,0.84187,0.52886,1.36619,0.98953,1.62681,0.000462259,0.000462259,0.000462259
75,30948,1.10926,0.91941,1.37076,0.855,0.78293,0.85298,0.53326,1.38772,0.96684,1.63304,0.000445756,0.000445756,0.000445756
76,31351,1.11779,0.9241,1.36471,0.86071,0.77591,0.84362,0.5327,1.38804,0.98639,1.6382,0.000429253,0.000429253,0.000429253
77,31753.1,1.10325,0.91941,1.35993,0.84134,0.80471,0.85279,0.53856,1.37536,0.96017,1.62694,0.000412749,0.000412749,0.000412749
78,32150.9,1.10653,0.91181,1.35747,0.8514,0.80026,0.854,0.53224,1.37539,0.98386,1.61934,0.000396246,0.000396246,0.000396246
79,32549.5,1.11749,0.89978,1.36773,0.85273,0.79358,0.85383,0.53201,1.39897,0.97865,1.65577,0.000379743,0.000379743,0.000379743
80,32948.6,1.09536,0.9027,1.35532,0.82942,0.80639,0.84524,0.53279,1.37066,0.95117,1.63864,0.000363239,0.000363239,0.000363239
81,33345.3,1.10292,0.89651,1.34677,0.85467,0.79738,0.85337,0.53884,1.35884,0.94481,1.61672,0.000346736,0.000346736,0.000346736
82,33751.2,1.09756,0.90109,1.35405,0.85568,0.7939,0.84955,0.53562,1.38104,0.94243,1.63577,0.000330233,0.000330233,0.000330233
83,34149.5,1.09306,0.88484,1.34885,0.86053,0.8089,0.8581,0.53724,1.37548,0.94579,1.61844,0.000313729,0.000313729,0.000313729
84,34548.1,1.08261,0.89082,1.3529,0.85011,0.817,0.8624,0.53864,1.38537,0.94395,1.63976,0.000297226,0.000297226,0.000297226
85,34948,1.07415,0.86016,1.33035,0.86352,0.79138,0.85314,0.53398,1.38487,0.93864,1.63906,0.000280723,0.000280723,0.000280723
86,35347,1.08934,0.88856,1.3461,0.84472,0.80279,0.85696,0.53656,1.36989,0.9504,1.62527,0.00026422,0.00026422,0.00026422
